"Length","Station","test","control","areatest","areacont","day","depth","samp_test","samp_cont","cpuetest","cpuecont","cpuetotal","prop","qratio","comp2"
"110","S55",7,12,0.00819893383259883,0.00279029296116131,2,44.5,1,1,853.769544055608,4300.62368612564,5154.39323018125,0.165639194746805,1,"FV1 vs FV2"
"115","S55",16,12,0.00819893383259883,0.00279029296116131,2,44.5,1,1,1951.47324355567,4300.62368612564,6252.09692968132,0.312130996288816,1,"FV1 vs FV2"
"120","S55",24,19,0.00819893383259883,0.00279029296116131,2,44.5,1,1,2927.20986533351,6809.3208363656,9736.53070169911,0.30064197967585,1,"FV1 vs FV2"
"125","S55",17,16,0.00819893383259883,0.00279029296116131,2,44.5,1,1,2073.4403212779,5734.16491483419,7807.6052361121,0.26556674659827,1,"FV1 vs FV2"
"130","S55",12,11,0.00819893383259883,0.00279029296116131,2,44.5,1,1,1463.60493266676,3942.23837894851,5405.84331161526,0.270744978775464,1,"FV1 vs FV2"
"135","S55",7,2,0.00819893383259883,0.00279029296116131,2,44.5,1,1,853.769544055608,716.770614354274,1570.54015840988,0.543615226572761,1,"FV1 vs FV2"
"140","S55",6,2,0.00819893383259883,0.00279029296116131,2,44.5,1,1,731.802466333378,716.770614354274,1448.57308068765,0.505188503148204,1,"FV1 vs FV2"
"90","24",1,1,0.00585137910923404,0.00486817206534543,2,45.6,1,1,170.899882118714,205.415911060047,376.31579317876,0.454139542417587,1,"FV1 vs FV2"
"95","24",2,2,0.00585137910923404,0.00486817206534543,2,45.6,1,1,341.799764237427,410.831822120093,752.63158635752,0.454139542417587,1,"FV1 vs FV2"
"100","24",0,3,0.00585137910923404,0.00486817206534543,2,45.6,1,1,0,616.24773318014,616.24773318014,0,1,"FV1 vs FV2"
"105","24",4,9,0.00585137910923404,0.00486817206534543,2,45.6,1,1,683.599528474854,1848.74319954042,2532.34272801527,0.269947476268596,1,"FV1 vs FV2"
"110","24",4,12,0.00585137910923404,0.00486817206534543,2,45.6,1,1,683.599528474854,2464.99093272056,3148.59046119541,0.217112875396095,1,"FV1 vs FV2"
"115","24",3,12,0.00585137910923404,0.00486817206534543,2,45.6,1,1,512.699646356141,2464.99093272056,2977.6905790767,0.172180296354067,1,"FV1 vs FV2"
