"Length","Station","test","control","areatest","areacont","day","depth","samp_test","samp_cont","cpuetest","cpuecont","cpuetotal","prop","qratio","comp2","cpuetotalN","sl","septh","res"
110,"44",31,9,0.00748118028384907,0.00264731804991357,1,32.7,1,1,4143.73117927997,3399.66707071478,7543.39824999475,0.549318893415558,1,"FV1 vs FV2",754.339824999475,-0.220780301730012,-0.968150268321084,8.47581026013419
115,"44",31,9,0.00748118028384907,0.00264731804991357,1,32.7,1,1,4143.73117927997,3399.66707071478,7543.39824999475,0.549318893415558,1,"FV1 vs FV2",754.339824999475,0.0570227269368907,-0.968150268321084,9.00753457622644
120,"44",42,16,0.00748118028384907,0.00264731804991357,1,32.7,1,1,5614.08740418577,6043.8525701596,11657.9399743454,0.48156770549001,1,"FV1 vs FV2",1165.79399743454,0.334825755603794,-0.968150268321084,7.61455339079728
125,"44",18,6,0.00748118028384907,0.00264731804991357,1,32.7,1,1,2406.03745893676,2266.44471380985,4672.48217274661,0.514937750425365,1,"FV1 vs FV2",467.248217274661,0.612628784270697,-0.968150268321084,7.26396986132002
130,"44",6,3,0.00748118028384907,0.00264731804991357,1,32.7,1,1,802.012486312253,1133.22235690492,1935.23484321718,0.414426439831442,1,"FV1 vs FV2",193.523484321718,0.8904318129376,-0.968150268321084,2.70916311440843
135,"44",0,1,0.00748118028384907,0.00264731804991357,1,32.7,1,1,0,377.740785634975,377.740785634975,0,1,"FV1 vs FV2",37.7740785634975,1.1682348416045,-0.968150268321084,-5.03451300881186
95,"53",0,2,0.00741837803428211,0.00222666399553865,2,33.5,1,1,0,898.204670308231,898.204670308231,0,1,"FV1 vs FV2",89.8204670308231,-1.05418938773072,-0.841719716506312,-9.65270027781765
100,"53",1,1,0.00741837803428211,0.00222666399553865,2,33.5,1,1,134.800356004879,449.102335154115,583.902691158994,0.23086099455598,1,"FV1 vs FV2",58.3902691158994,-0.776386359063818,-0.841719716506312,-2.79170770532404
120,"53",2,0,0.00741837803428211,0.00222666399553865,2,33.5,1,1,269.600712009757,0,269.600712009757,1,1,"FV1 vs FV2",26.9600712009757,0.334825755603794,-0.841719716506312,7.3009447779218
125,"53",1,0,0.00741837803428211,0.00222666399553865,2,33.5,1,1,134.800356004879,0,134.800356004879,1,1,"FV1 vs FV2",13.4800356004879,0.612628784270697,-0.841719716506312,5.31623331346566
130,"53",6,1,0.00741837803428211,0.00222666399553865,2,33.5,1,1,808.802136029272,449.102335154115,1257.90447118339,0.642975801865449,1,"FV1 vs FV2",125.790447118339,0.8904318129376,-0.841719716506312,7.37823974801853
135,"53",3,0,0.00741837803428211,0.00222666399553865,2,33.5,1,1,404.401068014636,0,404.401068014636,1,1,"FV1 vs FV2",40.4401068014636,1.1682348416045,-0.841719716506312,10.075757437602
140,"53",2,0,0.00741837803428211,0.00222666399553865,2,33.5,1,1,269.600712009757,0,269.600712009757,1,1,"FV1 vs FV2",26.9600712009757,1.44603787027141,-0.841719716506312,8.74636860299038
90,"23",1,0,0.00745501471667135,0.00501663478473594,2,40,1,1,134.137897509946,0,134.137897509946,1,1,"FV1 vs FV2",13.4137897509946,-1.33199241639762,0.185528516988718,4.91825697691663
95,"23",5,1,0.00745501471667135,0.00501663478473594,2,40,1,1,670.68948754973,199.336814998511,870.02630254824,0.770884150956508,1,"FV1 vs FV2",87.002630254824,-1.05418938773072,0.185528516988718,6.95510052406281
100,"23",20,9,0.00745501471667135,0.00501663478473594,2,40,1,1,2682.75795019892,1794.03133498659,4476.78928518551,0.599259375257316,1,"FV1 vs FV2",447.678928518551,-0.776386359063818,0.185528516988718,8.32836397249308
105,"23",7,5,0.00745501471667135,0.00501663478473594,2,40,1,1,938.965282569621,996.684074992552,1935.64935756217,0.485090586733223,1,"FV1 vs FV2",193.564935756217,-0.498583330396915,0.185528516988718,2.35491673933585
110,"23",8,5,0.00745501471667135,0.00501663478473594,2,40,1,1,1073.10318007957,996.684074992552,2069.78725507212,0.518460618331605,1,"FV1 vs FV2",206.978725507212,-0.220780301730012,0.185528516988718,3.54962742911786
